gene_id	Bark1	Bark2	Bark3	Flower1	Flower2	Flower3	Fruit1	Fruit2	Fruit3	Leaf1	Leaf2	Leaf3	Root1	Root2	Root3	Wood1	Wood2	Wood3
Khe00247	1.14	1.99	2	0.13	0	0	0	0	0	0	0	0	2.78	4.76	5.35	0.11	0.13	0.05
Khe00331	0.11	0.26	0.24	0.15	0.33	0.3	0.83	0.99	0.85	0.2	0.05	0.08	28.65	34.05	33.45	3.57	3.27	3.02
Khe00343	1.9	1.64	1.88	0.38	0.49	0.57	0.4	0.32	0.24	0	0	0	0.39	0.61	0.74	0.28	0.18	0.13
Khe01149	0.63	0.82	0.58	11.91	11.78	10.64	9.51	10.23	9.71	0	0	0	0	0	0	0	0	0
Khe01193	0	0	0.03	5.41	4.95	4.52	322.02	329.29	333.36	0	0	0	0	0	0	0.03	0	0
Khe01197	0.93	0.77	0.85	0.31	0.18	0.33	0.03	0.1	0.09	0.19	0.11	0.09	3.53	3.34	3.55	1.24	1.48	1.28
Khe01264	4.63	4.56	4.48	7.72	7.82	7.68	7.03	7.14	6.65	173.39	164.69	167.16	41.52	30.11	30.04	1.35	1.04	1.48
Khe01265	0.6	0.77	1.1	0.45	0.25	0.13	1.89	2.52	2.61	20.97	21.44	19.2	0.12	0.31	0.46	0.17	0.35	0.32
Khe01268	2.28	3.08	2.47	1.24	2.29	1.71	3.69	4.08	4.68	25.51	24.23	27.16	30.03	24.29	24.03	0.79	0.6	0.91
Khe01269	0.42	0.41	0	0	0	0	0	0	0	8.61	9.68	8.72	0	0.1	0.09	0.72	0.43	0
Khe01272	5.34	5.93	5.12	3.08	3.19	2.86	8.7	9.46	9.5	26.37	23.94	27.1	0.3	0.4	0.25	1.99	2.18	2.36
Khe01273	3.56	4.68	3.7	0.99	1.28	1.03	4.81	5.55	5.12	23.39	23.08	24.11	12.17	12.38	11.95	2.79	1.74	2
Khe01277	0.28	0.25	0.19	0.21	0.27	0.12	0.73	0.91	0.9	0.1	0.4	0.31	13.31	13	14.15	0.19	0.06	0.1
Khe01278	0.12	0	0.06	0.09	0.15	0.13	1.01	1.58	1.43	0.23	0.28	0.27	41.43	28.72	29.83	0.12	0.21	0.04
Khe01470	3.24	3.24	3.3	0.85	0.62	0.51	0.06	0.14	0.13	18.3	17.27	18.18	2.49	2.39	2.65	0.55	0.37	0.44
Khe01839	18.31	19.64	17.74	5.16	5.01	4.41	14.27	14.38	14.78	16.15	15.73	16.02	38.09	50.41	51.88	2.65	2.3	1.79
Khe01968	2.24	2.31	1.88	3.44	3.22	2.71	3.48	3.18	3.15	2.73	2.52	2.15	2.02	5.12	5.33	0.09	0.22	0.1
Khe02397	0.14	0.14	0.1	9.03	8.18	8.76	11.65	12.73	12.17	0.05	0.02	0	0.02	0.62	0.43	0	0.03	0
Khe02476	2.12	2.01	2.47	0.03	0.03	0	0	0	0	1.98	1.87	1.65	0.04	0.18	0.08	1.29	0.97	0.9
Khe02477	0.09	0.31	0.11	0	0	0	0.14	0	0.13	0	0	0	0	0.43	0.54	0.18	0.11	0.1
Khe02478	13.3	12.19	12.95	1.65	1.66	1.73	7.17	7.54	7.56	0.76	0.53	0.38	16.02	7.46	7.58	20.57	21.49	19.43
Khe02797	110.73	104.08	111.21	41.12	39.74	41.43	97.14	97.3	99.23	9.33	9.72	9.83	101.11	119.14	115.7	520.76	516.43	507.37
Khe02939	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0
Khe03277	0.61	0.44	0.83	0.16	0.07	0.08	0.03	0.05	0	0.37	0.12	0.19	3.38	18.72	17.91	0.14	0	0.15
Khe03726	0.05	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khe03775	4.61	5.73	4.56	0.5	0.44	0.45	2.34	2.23	2.19	4.83	4.65	4.44	1.39	3.78	3.52	4.24	4.12	3.81
Khe04617	0	0.03	0.02	0.03	0	0.03	0	0	0	0	0	0	31.12	49.36	49.01	0	0	0
Khe04618	0	0	0	0	0	0	6.25	6.02	5.44	0	0	0	1.97	1.63	1.81	0	0	0.02
Khe04705	0	0	0	0.11	0.17	0.18	0.23	0.43	0.28	0	0	0	0	0	0	0	0	0
